district,observation,isolation,total_hospitalized,hospitalized_today,active
Thiruvananthapuram,33,22,11,7,0
Kollam,75,66,9,6,0
Pathanamthitta,53,41,12,2,3
Idukki,38,37,1,1,0
Kottayam,83,79,4,4,0
Alappuzha,71,65,6,3,0
Ernakulam,177,171,6,0,0
Thrissur,211,172,39,22,0
Palakkad,36,22,14,12,0
Malappuram,76,52,24,20,0
Kozhikode,72,66,6,2,0
Wayanad,15,14,1,1,0
Kannur,83,69,14,4,1
Kasaragod,93,91,2,1,0
Total,1116,967,149,85,4
